"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","GSM_ID"
"SRX5100671",0.0015037992,0.0005376492,0,0.00015339462,"antiPD1; antiCTLA4;","end","end","GSM3554831"
"SRX5100663",0.0015008628,0.00041505678,0,0.00014092316,"antiPD1; antiCTLA4;","end","end","GSM3554832"
"SRX5100636",0.001108371,0.00048665418,0,0.0002022562,"antiPD1; antiCTLA4;","end","end","GSM3554833"
"SRX5100639",0.0015155922,0.000669354,0,0.000282744,"no_treatment","end","end","GSM3554834"
"SRX5100719",0.001766568,0.00039655212,0,0.0001759236,"no_treatment","day3","day3","GSM3554835"
"SRX5100720",0.0022852902,0.00054608862,0,0.0002881916,"no_treatment","day3","day3","GSM3554836"
"SRX5100717",0.0009116088,0.00039816666,0,0.00012638664,"no_treatment","day3","day3","GSM3554837"
"SRX5100718",0.0018870258,0.00044056266,0,0.00019155978,"no_treatment","day3","day3","GSM3554838"
"SRX5100677",0.0018746934,0.0008457492,0,0.0004361848,"no_treatment","end","end","GSM3554839"
"SRX5100705",0.0050840808,0.0022478334,8.056842e-05,0.0006038976,"no_treatment","end","end","GSM3554840"
"SRX5100649",0.0018988236,0.00031742178,0,0.0003375706,"no_treatment","end","end","GSM3554841"
"SRX5100856",0.00044896782,0.00026009346,0,0.000264664,"no_treatment","end","end","GSM3554842"
"SRX5100733",0.0007424238,0.00032947194,1.2686564e-07,0.00016136466,"no_treatment","end","end","GSM3554843"
"SRX5100724",0.0014798766,0.0008097342,5.385956e-05,0.0003608006,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554847"
"SRX5100723",0.0031490328,0.0014882904,0,0.0004615394,"no_treatment","UV_end","end","GSM3554848"
"SRX5100722",0.0033209712,0.0012124914,0.00011109058,0.00048488,"no_treatment","Apobec_day3","day3","GSM3554849"
"SRX5100642",0.0021267648,0.0010795356,7.36522e-05,0.0003755254,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554850"
"SRX5100641",0.0028198794,0.0012310134,0.0003453532,0.0004258506,"no_treatment","UV_end","end","GSM3554851"
"SRX5100638",0.0054328692,0.0017605584,5.089042e-05,0.000529629,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554852"
"SRX5100632",0.00712011,0.002415066,0.00019217666,0.0005784088,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554853"
"SRX5100675",0.0050256258,0.0015913062,4.349316e-05,0.0004762342,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554854"
"SRX5100860",0.0031908216,0.0011889852,5.329164e-05,0.0004939734,"no_treatment","Apobec_day3","day3","GSM3554855"
"SRX5100859",0.0019258032,0.0008456694,2.35763e-05,0.0003239946,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554856"
"SRX5100858",0.0027990168,0.0014099154,0,0.0005212308,"no_treatment","UV_end","end","GSM3554857"
"SRX5100857",0.0042198696,0.00138237,4.036378e-05,0.0004307396,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554858"
"SRX5100864",0.004331829,0.0013973934,0.0005156446,0.000583812,"no_treatment","Apobec_day3","day3","GSM3554859"
"SRX5100862",0.0025394886,0.0009702588,0.0003130756,0.0004547158,"no_treatment","Apobec_day3","day3","GSM3554860"
"SRX5100867",0.0018307998,0.0008953524,1.7730548e-06,0.000430252,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554861"
"SRX5100866",0.0025536846,0.0013179912,0,0.0004079552,"no_treatment","UV_end","end","GSM3554862"
"SRX5100816",0.0020357004,0.0009948582,0,0.0003773776,"no_treatment","Apobec_end","end","GSM3554863"
"SRX5100817",0.0021124518,0.0009744918,2.77407e-05,0.0003476384,"no_treatment","Apobec_end","end","GSM3554864"
"SRX5100824",0.0019188072,0.000850095,9.183494e-06,0.000310118,"no_treatment","Apobec_end","end","GSM3554865"
"SRX5100825",0.002011377,0.000905019,0,0.000319176,"no_treatment","Apobec_end","end","GSM3554866"
"SRX5100790",0.003832701,0.0016066752,0.0005776184,0.0005080776,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554883"
"SRX5100789",0.0059149656,0.001772211,0.000767779,0.0005653966,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554884"
"SRX5100788",0.0028000908,0.0014333088,0.000426594,0.0003993662,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554885"
"SRX5100787",0.0050314608,0.0015426648,0.0006714424,0.0005569002,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554886"
"SRX5100794",0.0028929372,0.0012975012,6.417034e-05,0.0003792856,"no_treatment","UV_day7","day7","GSM3554887"
"SRX5100793",0.0033457344,0.0014224296,0,0.0005058482,"no_treatment","UV_day7","day7","GSM3554888"
"SRX5100688",0.0031333362,0.0015112878,0,0.0004708926,"no_treatment","UV_day7","day7","GSM3554889"
"SRX5100681",0.0028270908,0.0014391738,9.392614e-06,0.000616126,"antiPD1; antiCTLA4;","UV_end","end","GSM3554890"
"SRX5100710",0.0030001548,0.0013947072,0,0.0004653536,"no_treatment","UV_day7","day7","GSM3554891"
"SRX5100624",0.0035638002,0.0015342678,0,0.000486253,"antiPD1; antiCTLA4;","day7","day7","GSM3554892"
"SRX5100625",0.0025436718,0.0011372934,0,0.0003816588,"antiPD1; antiCTLA4;","day7","day7","GSM3554893"
"SRX5100626",0.0031670382,0.001506186,0,0.0005348154,"antiPD1; antiCTLA4;","day7","day7","GSM3554894"
"SRX5100627",0.0035566464,0.0015145758,0,0.000545733,"antiPD1; antiCTLA4;","day7","day7","GSM3554895"
"SRX5100628",0.003199338,0.0013633902,0,0.0005253568,"no_treatment","day7","day7","GSM3554896"
"SRX5100660",0.0031540218,0.0014421396,0,0.0004932554,"no_treatment","day7","day7","GSM3554897"
"SRX5100659",0.0032424006,0.0014498112,0,0.0005277364,"no_treatment","day7","day7","GSM3554898"
"SRX5100658",0.0029806854,0.0013786932,0,0.0004289056,"no_treatment","day7","day7","GSM3554899"
"SRX5100657",0.0037598016,0.0021141678,0.0008223552,0.0006177436,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554900"
"SRX5100656",0.0045750024,0.001216539,0.0016167826,0.0005689636,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554901"
"SRX5100655",0.0021530946,0.00076755,0.00015280282,0.0002617418,"no_treatment","Apobec_day7","day7","GSM3554902"
"SRX5100654",0.0054601704,0.002036439,0.0006688686,0.0011280428,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554903"
"SRX5100653",0.0021348846,0.0007599726,5.078994e-05,0.00028456,"no_treatment","Apobec_day7","day7","GSM3554904"
"SRX5100652",0.0018239298,0.0007432368,0.00010417714,0.0002620388,"no_treatment","Apobec_day7","day7","GSM3554905"
"SRX5100651",0.0059098002,0.0018844422,0.000832317,0.0005316004,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554906"
"SRX5100848",0.0025400628,0.0008041674,5.720588e-05,0.0003064858,"no_treatment","Apobec_day7","day7","GSM3554907"
"SRX5100849",0.0019382706,0.0009847398,0,0.0003237688,"antiPD1; antiCTLA4;","end","end","GSM3554908"
"SRX5100846",0.0033792282,0.001495812,4.268988e-05,0.0005070408,"antiPD1; antiCTLA4;","end","end","GSM3554909"
"SRX5100847",0.0025263774,0.0011641188,3.282092e-05,0.000388368,"antiPD1; antiCTLA4;","end","end","GSM3554910"
"SRX5100844",0.0029854584,0.0013467096,0,0.0005352422,"no_treatment","UV_day3","day3","GSM3554911"
"SRX5100845",0.0029796816,0.0012856572,0,0.0004527178,"no_treatment","UV_day3","day3","GSM3554912"
"SRX5100842",0.0030162402,0.0012683244,0,0.0005208736,"no_treatment","UV_day3","day3","GSM3554913"
"SRX5100843",0.0030474732,0.001380522,0,0.0004160866,"no_treatment","UV_day3","day3","GSM3554914"
"SRX5100850",0.0015309258,0.0007714074,5.55885e-05,0.00019993746,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554915"
"SRX5100851",0.0032122638,0.0012955584,0,0.0005430208,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554916"
"SRX5100601",0.0027660072,0.0011352402,0.00013704004,0.0003442472,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554917"
"SRX5100600",0.0029999328,0.0012144678,4.529314e-05,0.000552258,"antiPD1; antiCTLA4;","UV_end","end","GSM3554918"
"SRX5100603",0.0036522942,0.0015832164,9.24242e-05,0.0006054938,"antiPD1; antiCTLA4;","UV_end","end","GSM3554919"
"SRX5100602",0.0033371706,0.0015126558,0,0.0004322188,"antiPD1; antiCTLA4;","UV_end","end","GSM3554920"
"SRX5100768",0.0027182574,0.0011985,0,0.000401243,"no_treatment","end","end","GSM3554921"
"SRX5100769",0.0027417222,0.001221894,0,0.0004079096,"no_treatment","end","end","GSM3554922"
"SRX5100762",0.0026296956,0.00114987,0,0.000383359,"no_treatment","end","end","GSM3554923"
"SRX5100763",0.0032663148,0.0014302128,0,0.0005171634,"no_treatment","day3","day3","GSM3554924"
"SRX5100764",0.002735892,0.001200714,0,0.0004051178,"no_treatment","day3","day3","GSM3554925"
"SRX5100765",0.0028008834,0.0013482552,0,0.0004950832,"no_treatment","day3","day3","GSM3554926"
"SRX5100758",0.0027452058,0.0013435998,0,0.0004938924,"no_treatment","day3","day3","GSM3554927"
"SRX5100759",0.0032560866,0.0013324182,2.431386e-05,0.0005915904,"antiPD1; antiCTLA4;","day3","day3","GSM3554928"
"SRX5100810",0.0026870568,0.0011101152,0,0.000425852,"antiPD1; antiCTLA4;","day3","day3","GSM3554929"
"SRX5100809",0.0042670122,0.001543692,7.099598e-05,0.0005132436,"antiPD1; antiCTLA4;","day3","day3","GSM3554930"
"SRX5100808",0.0020835138,0.000977199,0,0.0004099942,"antiPD1; antiCTLA4;","day3","day3","GSM3554931"
"SRX5100807",0.003207612,0.0012687294,0,0.0004420012,"antiPD1; antiCTLA4;","end","end","GSM3554932"
"SRX5100814",0.0027447528,0.0011237598,0,0.0004635536,"antiPD1; antiCTLA4;","end","end","GSM3554933"
"SRX5100813",0.0021778716,0.000910281,0,0.000338682,"no_treatment","end","end","GSM3554934"
"SRX5100812",0.0029556798,0.0013101198,4.069564e-05,0.0005049472,"no_treatment","end","end","GSM3554935"
"SRX5100684",0.0021778626,0.000957261,2.142046e-05,0.0004180588,"antiPD1; antiCTLA4;","UV_end","end","GSM3554936"
