"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","GSM_ID","Cell_Line"
"SRX5100695",0.009060522,0.0025241172,0,0.0010018238,"no_treatment","day3","day3","GSM3554814","p53-2336R"
"SRX5100704",0.010879446,0.0032780394,0,0.0013636724,"no_treatment","day3","day3","GSM3554815","p53-2336R"
"SRX5100703",0.00991002,0.0033090924,0,0.0013698964,"antiPD1; antiCTLA4;","day3","day3","GSM3554816","p53-2336R"
"SRX5100668",0.013554036,0.0033134832,0,0.0014726384,"antiPD1; antiCTLA4;","day3","day3","GSM3554817","p53-2336R"
"SRX5100669",0.00954576,0.0026168046,0,0.0010346784,"antiPD1; antiCTLA4;","day3","day3","GSM3554818","p53-2336R"
"SRX5100666",0.012777468,0.004350954,0.0003390196,0.002413974,"antiPD1; antiCTLA4;","day3","day3","GSM3554819","p53-2336R"
"SRX5100667",0.007526238,0.003002892,0,0.0008180846,"antiPD1; antiCTLA4;","day3","day3","GSM3554820","p53-2336R"
"SRX5100672",0.018360264,0.0049392786,0,0.0018126126,"no_treatment","end","end","GSM3554821","p53-2336R"
"SRX5100635",0.019439364,0.0052672956,0,0.0014552784,"no_treatment","end","end","GSM3554822","p53-2336R"
"SRX5100664",0.008446206,0.0032265738,0,0.0006660248,"no_treatment","end","end","GSM3554823","p53-2336R"
"SRX5100662",0.012106968,0.0056570586,0,0.0015737398,"no_treatment","end","end","GSM3554824","p53-2336R"
"SRX5100637",0.01264152,0.0053900598,0,0.000824885,"no_treatment","end","end","GSM3554825","p53-2336R"
"SRX5100634",0.00926877,0.0032028456,0,0.0012082946,"no_treatment","end","end","GSM3554826","p53-2336R"
"SRX5100673",0.02814789,0.007453716,0,0.00262479,"no_treatment","end","end","GSM3554827","p53-2336R"
"SRX5100640",0.013063002,0.005990502,0,0.0018194958,"no_treatment","end","end","GSM3554828","p53-2336R"
"SRX5100633",0.009776556,0.0046859886,0,0.0018236126,"antiPD1; antiCTLA4;","end","end","GSM3554829","p53-2336R"
"SRX5100670",0.0104322,0.0055021782,0,0.0011491462,"antiPD1; antiCTLA4;","end","end","GSM3554830","p53-2336R"
"SRX5100671",0.015037992,0.005376492,0,0.0015339462,"antiPD1; antiCTLA4;","end","end","GSM3554831","p53-2336R"
"SRX5100663",0.015008628,0.0041505678,0,0.0014092316,"antiPD1; antiCTLA4;","end","end","GSM3554832","p53-2336R"
"SRX5100636",0.01108371,0.0048665418,0,0.002022562,"antiPD1; antiCTLA4;","end","end","GSM3554833","p53-2336R"
"SRX5100639",0.015155922,0.00669354,0,0.00282744,"no_treatment","end","end","GSM3554834","p53-9263-3"
"SRX5100719",0.01766568,0.0039655212,0,0.001759236,"no_treatment","day3","day3","GSM3554835","p53-9263-3"
"SRX5100720",0.022852902,0.0054608862,0,0.002881916,"no_treatment","day3","day3","GSM3554836","p53-9263-3"
"SRX5100717",0.009116088,0.0039816666,0,0.0012638664,"no_treatment","day3","day3","GSM3554837","p53-9263-3"
"SRX5100718",0.018870258,0.0044056266,0,0.0019155978,"no_treatment","day3","day3","GSM3554838","p53-9263-3"
"SRX5100677",0.018746934,0.008457492,0,0.004361848,"no_treatment","end","end","GSM3554839","p53-T1"
"SRX5100705",0.050840808,0.022478334,0.0008056842,0.006038976,"no_treatment","end","end","GSM3554840","p53-T12"
"SRX5100649",0.018988236,0.0031742178,0,0.003375706,"no_treatment","end","end","GSM3554841","p53-T2"
"SRX5100856",0.0044896782,0.0026009346,0,0.00264664,"no_treatment","end","end","GSM3554842","p53-T6"
"SRX5100733",0.007424238,0.0032947194,1.2686564e-06,0.0016136466,"no_treatment","end","end","GSM3554843","p53-T7"
"SRX5100724",0.014798766,0.008097342,0.0005385956,0.003608006,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554847","T11"
"SRX5100723",0.031490328,0.014882904,0,0.004615394,"no_treatment","UV_end","end","GSM3554848","T11"
"SRX5100722",0.033209712,0.012124914,0.0011109058,0.0048488,"no_treatment","Apobec_day3","day3","GSM3554849","T11"
"SRX5100642",0.021267648,0.010795356,0.000736522,0.003755254,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554850","T11"
"SRX5100641",0.028198794,0.012310134,0.003453532,0.004258506,"no_treatment","UV_end","end","GSM3554851","T11"
"SRX5100638",0.054328692,0.017605584,0.0005089042,0.00529629,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554852","T11"
"SRX5100632",0.0712011,0.02415066,0.0019217666,0.005784088,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554853","T11"
"SRX5100675",0.050256258,0.015913062,0.0004349316,0.004762342,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554854","T11"
"SRX5100860",0.031908216,0.011889852,0.0005329164,0.004939734,"no_treatment","Apobec_day3","day3","GSM3554855","T11"
"SRX5100859",0.019258032,0.008456694,0.000235763,0.003239946,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554856","T11"
"SRX5100858",0.027990168,0.014099154,0,0.005212308,"no_treatment","UV_end","end","GSM3554857","T11"
"SRX5100857",0.042198696,0.0138237,0.0004036378,0.004307396,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554858","T11"
"SRX5100864",0.04331829,0.013973934,0.005156446,0.00583812,"no_treatment","Apobec_day3","day3","GSM3554859","T11"
"SRX5100862",0.025394886,0.009702588,0.003130756,0.004547158,"no_treatment","Apobec_day3","day3","GSM3554860","T11"
"SRX5100867",0.018307998,0.008953524,1.7730548e-05,0.00430252,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554861","T11"
"SRX5100866",0.025536846,0.013179912,0,0.004079552,"no_treatment","UV_end","end","GSM3554862","T11"
"SRX5100816",0.020357004,0.009948582,0,0.003773776,"no_treatment","Apobec_end","end","GSM3554863","T11"
"SRX5100817",0.021124518,0.009744918,0.000277407,0.003476384,"no_treatment","Apobec_end","end","GSM3554864","T11"
"SRX5100824",0.019188072,0.00850095,9.183494e-05,0.00310118,"no_treatment","Apobec_end","end","GSM3554865","T11"
"SRX5100825",0.02011377,0.00905019,0,0.00319176,"no_treatment","Apobec_end","end","GSM3554866","T11"
