"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","ICB_study","GSM_ID","Cell_Line","Cancer_type","Study_ID"
"SRX5100687",0.0030096192,0.0010988538,3.49302e-05,0.0004047916,"no_treatment","day7","day7","Baseline","GSM3554693","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100692",0.003046641,0.0010471212,3.331262e-05,0.0004029854,"no_treatment","day7","day7","Baseline","GSM3554694","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100693",0.0031648746,0.000860631,0,0.0003356824,"no_treatment","day7","day7","Baseline","GSM3554695","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100690",0.0022529988,0.0007249926,2.383052e-05,0.000245116,"antiPD1; antiCTLA4;","day7","day7","R","GSM3554696","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100691",0.003449043,0.0008667516,3.151104e-06,0.0004006074,"antiPD1; antiCTLA4;","day7","day7","R","GSM3554697","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100680",0.0043494576,0.0009490896,1.6895496e-05,0.0005095694,"antiPD1; antiCTLA4;","day7","day7","R","GSM3554698","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100597",0.0029152284,0.000706455,0,0.0002796756,"no_treatment","end","end","Baseline","GSM3554699","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100596",0.0032315094,0.0010024776,0,0.0003604744,"no_treatment","day3","day3","Baseline","GSM3554700","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100599",0.0025472916,0.0006423648,0,0.0002765198,"no_treatment","end","end","Baseline","GSM3554701","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100598",0.0025723194,0.0007225998,0,0.0003291106,"no_treatment","day3","day3","Baseline","GSM3554702","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100618",0.0025648788,0.00050148552,0,0.0002847744,"no_treatment","day3","day3","Baseline","GSM3554703","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100617",0.0027569934,0.0007122096,0,0.0003441998,"no_treatment","day3","day3","Baseline","GSM3554704","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100591",0.0042755442,0.0006430698,0,0.0006525684,"no_treatment","day3","day3","Baseline","GSM3554705","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100588",0.0025009326,0.0005549361,0,0.000297909,"antiPD1; antiCTLA4;","day3","day3","R","GSM3554706","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100589",0.0059515362,0.0011347626,0.00017756544,0.0007348336,"antiPD1; antiCTLA4;","day3","day3","R","GSM3554707","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100594",0.003723276,0.0008316744,0,0.0003249214,"antiPD1; antiCTLA4;","day3","day3","R","GSM3554708","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100609",0.0049667706,0.002357922,0.00010039948,0.0007190352,"antiPD1; antiCTLA4;","day3","day3","R","GSM3554709","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100595",0.0050113746,0.0018279384,0.00012669174,0.0008693806,"antiPD1; antiCTLA4;","day3","day3","R","GSM3554710","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100592",0.00227838,0.00058271832,0,0.000267087,"no_treatment","end","end","Baseline","GSM3554711","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100593",0.0022081854,0.00047444736,0,0.0002101968,"no_treatment","end","end","Baseline","GSM3554712","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100586",0.0020625012,0.0006201132,0,0.000266645,"no_treatment","end","end","Baseline","GSM3554713","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100587",0.0029429604,0.0006990366,0,0.0003629198,"no_treatment","end","end","Baseline","GSM3554714","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100855",0.0033581142,0.000807975,0,0.0003995992,"antiPD1; antiCTLA4;","end","end","R","GSM3554715","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100854",0.0015200538,0.00031236396,0,0.00017607912,"antiPD1; antiCTLA4;","end","end","R","GSM3554716","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100853",0.0030162588,0.00076647,0,0.0003386614,"antiPD1; antiCTLA4;","end","end","R","GSM3554717","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100631",0.0018223626,0.00041111682,0.00015909758,0.000244731,"no_treatment","Apobec_day3","day3",NA,"GSM3554718","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100821",0.002756628,0.0007365792,3.278666e-05,0.0004463348,"no_treatment","Apobec_day3","day3",NA,"GSM3554719","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100818",0.0031634244,0.00056599566,0.0006720236,0.0005852882,"no_treatment","Apobec_day3","day3",NA,"GSM3554720","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100622",0.0039560454,0.000823635,3.181218e-05,0.0005484326,"no_treatment","Apobec_day3","day3",NA,"GSM3554721","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100623",0.0015120894,0.00051586452,8.728094e-06,0.0002434584,"no_treatment","Apobec_day3","day3",NA,"GSM3554722","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100863",0.0028508052,0.0006209784,1.9482734e-05,0.000438833,"no_treatment","UV_day3","day3","Baseline","GSM3554724","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100861",0.0044231172,0.0008691174,0.0001650683,0.00054004,"no_treatment","UV_day3","day3","Baseline","GSM3554725","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100822",0.0035853192,0.0011362956,0.0007057278,0.0005798418,"no_treatment","UV_day3","day3","Baseline","GSM3554726","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100823",0.0029545044,0.000783234,2.024958e-05,0.0003110776,"antiPD1; antiCTLA4;","UV_day3","day3","R","GSM3554727","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100820",0.0025715496,0.0006015462,0.000219904,0.0002836244,"no_treatment","UV_day3","day3","Baseline","GSM3554728","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100777",0.0029513352,0.0011890542,4.486374e-05,0.0002813942,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554729","KPB25L","Mammary cancer, NOS","GSE124821"
"SRX5100776",0.0019032534,0.0006552114,0,0.000206632,"antiPD1; antiCTLA4;","UV_end","end","R","GSM3554730","KPB25L","Mammary cancer, NOS","GSE124821"
